model,type,dataset,accuracy,precision,recall,f1,yes_ratio,tp,fp,tn,fn,namespace
LLaVA-1.5-7B,Random,coco,88.16666666666667,97.43164871582437,78.4,86.88585149612116,40.233333333333334,1176,31,1469,324,llava_ricd_tau1_clean_v1
LLaVA-1.5-7B,Random,aokvqa,91.03333333333333,93.9329050678087,87.73333333333333,90.72733540158565,46.7,1316,85,1415,184,llava_ricd_tau1_clean_v1
LLaVA-1.5-7B,Random,gqa,89.16666666666667,92.17516152189519,85.6,88.76598686484618,46.43333333333333,1284,109,1391,216,llava_ricd_tau1_clean_v1
LLaVA-1.5-7B,Random,MACRO_AVERAGE,89.45555555555556,94.51323843517609,83.91111111111111,88.79305792085101,44.455555555555556,,,,,mixed only where explicitly listed in source_manifest
LLaVA-1.5-7B,Popular,coco,86.96666666666667,94.60981496379726,78.4,85.74553408676633,41.43333333333333,1176,67,1433,324,llava_ricd_tau1_popular_clean_v1
LLaVA-1.5-7B,Popular,aokvqa,87.6,87.5,87.73333333333333,87.61651131824235,50.13333333333333,1316,188,1312,184,llava_ricd_tau1_popular_clean_v1
LLaVA-1.5-7B,Popular,gqa,84.23333333333333,83.32251784555483,85.6,84.44590595198949,51.36666666666667,1284,257,1243,216,llava_ricd_tau1_popular_clean_v1
LLaVA-1.5-7B,Popular,MACRO_AVERAGE,86.26666666666667,88.47744426978403,83.91111111111111,85.93598378566605,47.644444444444446,,,,,mixed only where explicitly listed in source_manifest
LLaVA-1.5-7B,Adversarial,coco,85.0,90.32258064516128,78.4,83.94004282655247,43.4,1176,126,1374,324,llava_ricd_tau1_clean_v1
LLaVA-1.5-7B,Adversarial,aokvqa,80.56666666666666,76.73469387755102,87.73333333333333,81.86625194401243,57.166666666666664,1316,399,1101,184,llava_ricd_tau1_clean_v1
LLaVA-1.5-7B,Adversarial,gqa,81.33333333333333,78.86977886977887,85.6,82.09718670076727,54.266666666666666,1284,344,1156,216,llava_ricd_tau1_clean_v1
LLaVA-1.5-7B,Adversarial,MACRO_AVERAGE,82.3,81.97568446416373,83.91111111111111,82.63449382377739,51.61111111111111,,,,,mixed only where explicitly listed in source_manifest
InstructBLIP-7B,Random,coco,88.13333333333334,93.93241167434716,81.53333333333333,87.29478943611704,43.4,1223,79,1421,277,instructblip_ricd_random_j3_v1
InstructBLIP-7B,Random,aokvqa,87.56666666666666,86.47249190938511,89.06666666666668,87.75041050903121,51.5,1336,209,1291,164,instructblip_ricd_random_j3_v1
InstructBLIP-7B,Random,gqa,86.76666666666667,86.49900727994707,87.13333333333333,86.81501162404517,50.36666666666667,1307,204,1296,193,instructblip_ricd_random_j3_v1
InstructBLIP-7B,Random,MACRO_AVERAGE,87.48888888888888,88.96797028789312,85.91111111111111,87.28673718973114,48.422222222222224,,,,,mixed only where explicitly listed in source_manifest
InstructBLIP-7B,Popular,coco,85.06666666666666,87.73314203730273,81.53333333333333,84.51969592259849,46.46666666666667,1223,171,1329,277,instructblip_ricd_j3_fixed_popular_adversarial_v1
InstructBLIP-7B,Popular,aokvqa,83.06666666666666,79.52380952380952,89.06666666666668,84.02515723270442,56.0,1336,344,1156,164,instructblip_ricd_j3_fixed_popular_adversarial_v1
InstructBLIP-7B,Popular,gqa,79.43333333333334,75.50548815713461,87.13333333333333,80.90374497059733,57.7,1307,424,1076,193,instructblip_ricd_j3_fixed_popular_adversarial_v1
InstructBLIP-7B,Popular,MACRO_AVERAGE,82.52222222222223,80.92081323941562,85.91111111111111,83.14953270863342,53.38888888888889,,,,,mixed only where explicitly listed in source_manifest
InstructBLIP-7B,Adversarial,coco,82.4,82.88227334235452,81.66666666666667,82.26997985224982,49.266666666666666,1225,253,1247,275,instructblip_ricd_j3_fixed_popular_adversarial_v1
InstructBLIP-7B,Adversarial,aokvqa,75.63333333333334,70.20493956910143,89.06666666666668,78.51895386423745,63.43333333333333,1336,567,933,164,instructblip_ricd_j3_fixed_popular_adversarial_v1
InstructBLIP-7B,Adversarial,gqa,76.26666666666667,71.57721796276013,87.13333333333333,78.59290438965724,60.86666666666667,1307,519,981,193,instructblip_ricd_j3_fixed_popular_adversarial_v1
InstructBLIP-7B,Adversarial,MACRO_AVERAGE,78.10000000000001,74.88814362473869,85.95555555555556,79.7939460353815,57.855555555555554,,,,,mixed only where explicitly listed in source_manifest
Qwen2.5-VL-7B-Instruct,Random,coco,87.63333333333334,97.87955894826123,76.93333333333334,86.15154908547964,39.3,1154,25,1475,346,qwen2_5_vl_ricd_clean_random_lambda_l15_v1
Qwen2.5-VL-7B-Instruct,Random,aokvqa,90.03333333333333,94.58054936896808,84.93333333333334,89.49771689497717,44.9,1274,73,1427,226,qwen2_5_vl_ricd_clean_random_lambda_l15_v1
Qwen2.5-VL-7B-Instruct,Random,gqa,90.53333333333333,94.57478005865103,86.0,90.08379888268156,45.46666666666667,1290,74,1426,210,qwen2_5_vl_ricd_clean_random_lambda_l15_v1
Qwen2.5-VL-7B-Instruct,Random,MACRO_AVERAGE,89.40000000000002,95.67829612529344,82.62222222222222,88.5776882877128,43.22222222222222,,,,,mixed only where explicitly listed in source_manifest
Qwen2.5-VL-7B-Instruct,Popular,coco,86.96666666666667,96.24687239366139,76.93333333333334,85.51315301963692,39.96666666666667,1154,45,1455,346,qwen2_5_vl_ricd_clean_fixed_l15_popular_v1
Qwen2.5-VL-7B-Instruct,Popular,aokvqa,87.66666666666667,89.84485190409028,84.93333333333334,87.32008224811516,47.266666666666666,1274,144,1356,226,qwen2_5_vl_ricd_clean_fixed_l15_popular_v1
Qwen2.5-VL-7B-Instruct,Popular,gqa,86.0,86.0,86.0,85.99999999999999,50.0,1290,210,1290,210,qwen2_5_vl_ricd_clean_fixed_l15_popular_v1
Qwen2.5-VL-7B-Instruct,Popular,MACRO_AVERAGE,86.87777777777778,90.6972414325839,82.62222222222222,86.27774508925069,45.74444444444445,,,,,mixed only where explicitly listed in source_manifest
Qwen2.5-VL-7B-Instruct,Adversarial,coco,85.5,92.7710843373494,77.0,84.15300546448088,41.5,1155,90,1410,345,qwen2_5_vl_ricd_clean_fixed_l15_adversarial_v1
Qwen2.5-VL-7B-Instruct,Adversarial,aokvqa,82.16666666666667,80.48010107391029,84.93333333333334,82.64677262406747,52.766666666666666,1274,309,1191,226,qwen2_5_vl_ricd_clean_fixed_l15_adversarial_v1
Qwen2.5-VL-7B-Instruct,Adversarial,gqa,83.5,81.9047619047619,86.0,83.90243902439023,52.5,1290,285,1215,210,qwen2_5_vl_ricd_clean_fixed_l15_adversarial_v1
Qwen2.5-VL-7B-Instruct,Adversarial,MACRO_AVERAGE,83.72222222222223,85.05198243867386,82.64444444444445,83.56740570431286,48.92222222222222,,,,,mixed only where explicitly listed in source_manifest
